long,code,provider,s_confidence,time,unique_id,detected,mag,p_error,event_id,s_detected,p_predicted,p_detected,catalogued,p_confidence,lat,s_error,plot_path,depth,date,s_predicted,network,epi_distance,mag_type
37.825,R50D6,EMSC,,2024-09-01T23:58:37,2024-09-01_13,False,1.2,,quakeml:eu.emsc/event/20240901_0000224,,2024-09-02T00:04:58.381295,,True,,38.1769,,,19.3,2024-09-01,2024-09-02T00:10:06.967096,AM,3469.1490368432483,ml
23.048,R50D6,EMSC,,2024-09-01T23:57:28.500000,2024-09-01_14,False,2.6,,quakeml:eu.emsc/event/20240901_0000221,,2024-09-02T00:01:53.616069,,True,,45.1308,,,10.6,2024-09-01,2024-09-02T00:05:32.068453,AM,2045.0268381858796,ml
-86.7,R50D6,EMSC,,2024-09-01T23:45:23,2024-09-01_15,False,3.5,,quakeml:eu.emsc/event/20240901_0000220,,2024-09-01T23:57:27.017115,,True,,10.51,,,4.0,2024-09-01,2024-09-02T00:07:26.061467,AM,8743.785108910546,m
33.41,R50D6,EMSC,,2024-09-01T23:43:50,2024-09-01_16,True,1.2,-9.06524,quakeml:eu.emsc/event/20240901_0000223,,2024-09-01T23:49:48.055240,2024-09-01T23:49:38.990000,True,0.30001407861709595,39.2308,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_16_event_plot.png?raw=true,7.0,2024-09-01,2024-09-01T23:54:30.031321,AM,3115.7904931536063,ml
125.7238,R50D6,EMSC,,2024-09-01T23:39:51.100000,2024-09-01_17,False,4.6,,quakeml:eu.emsc/event/20240901_0000219,,2024-09-01T23:52:39.972397,,True,,26.3262,,,153.0,2024-09-01,2024-09-02T00:03:22.099389,AM,9695.29044591829,mb
43.4228,R50D6,EMSC,,2024-09-01T23:32:33,2024-09-01_18,False,1.1,,quakeml:eu.emsc/event/20240901_0000225,,2024-09-01T23:39:18.484544,,True,,38.7639,,,7.0,2024-09-01,2024-09-01T23:44:45.794697,AM,3774.411177698405,ml
26.2197,R50D6,EMSC,,2024-09-01T23:31:21.200000,2024-09-01_19,False,2.0,,quakeml:eu.emsc/event/20240901_0000226,,2024-09-01T23:36:43.753879,,True,,38.9997,,,10.7,2024-09-01,2024-09-01T23:41:29.771824,AM,2712.9256813439397,ml
-71.356,R50D6,EMSC,,2024-09-01T23:28:18,2024-09-01_20,False,3.2,,quakeml:eu.emsc/event/20240901_0000248,,2024-09-01T23:38:50.416109,,True,,18.315,,,24.3,2024-09-01,2024-09-01T23:47:26.047202,AM,7063.423150748693,m
-17.9375,R50D6,EMSC,,2024-09-01T23:22:40.650000,2024-09-01_21,False,1.7,,quakeml:eu.emsc/event/20240901_0000242,,2024-09-01T23:28:39.150929,,True,,28.635,,,27.8,2024-09-01,2024-09-01T23:33:30.085245,AM,3189.922764327738,ml
-7.9656,R50D6,EMSC,,2024-09-01T23:11:15.660000,2024-09-01_22,False,1.7,,quakeml:eu.emsc/event/20240901_0000227,,2024-09-01T23:14:26.322562,,True,,42.1043,,,20.9,2024-09-01,2024-09-01T23:16:56.695509,AM,1483.5260714609763,ml
35.8717,R50D6,EMSC,,2024-09-01T23:08:30,2024-09-01_23,False,1.4,,quakeml:eu.emsc/event/20240901_0000217,,2024-09-01T23:14:45.271647,,True,,37.6328,,,7.0,2024-09-01,2024-09-01T23:19:49.137716,AM,3392.6540190489955,ml
